happyword	angryword	sadword	disgustword	scaredword	surpriseword
天使般的	煩人的	不恰當	不一致	不合宜	不屑做
天賜良機	煩惱	不恰當地	不公平	不合宜的	不祥
太陽	煩亂	不活潑	不公平的	不合法	不祥的
巴士	煩亂的	不活潑的	不公正	不合法的	不經意說出
引人入勝	煩燥	不為	不切實際的	不合時宜	不經濟
引誘	煩燥的	不為人喜	不友好	不合時宜的	不經濟的
心血來潮	煩擾	不為人喜的	不友好的	不安	不像
支付	煩躁	不相宜	不友善	不安全	不像真實
支持者	責怪	不信實的	不友善地	不安全的	不像真實的
文明的	贖回	不流行	不友善的	不安定	不斷
日記	赤字	不流行的	不太	不安定的	不斷引起苦惱
火花	走火入魔	不流動	不太可能的	不安的	不斷地找..的岔子
王侯的	達不到	不流動的	不毛	不安的狀態	不穩
令人愉快的	逼近	不省	不毛的	不安寧	不穩固
令人欽佩	逼迫	不省人事	不加	不安寧的	不穩固的
令人興奮的	摑..耳光	不省人事的	不加思考	不安穩	不穩定
兄弟	敲打	不相容	不可	不安穩的	不穩定的
兄弟般的		不留心	不可否認	不能壓制	不嚴密
充滿希望		不留心的	不可否認的	不能壓制的	反衝
出生	憤世	不留神	不可預知	凶兆	水雷
出色的	憤世嫉俗	不留神的	不可預知的	分泌毒液	火災
加冕	憤世嫉俗的	不眠	不可預測	分泌毒液的	出乎
加冕禮	憤怒	不眠的	不可預測的	厄運	出乎意料
古樸	憤怒的	不能矯正	不平衡	反社會	出乎意料地
可口的	憤恨	不能矯正的	不平衡的	反動	卡住
可愛的	憤慨	不能醫治	不平	反動分子	失事
可敬	暴躁	不能醫治的	不平均	切斷	未被證明為正當
可獲得的	暴躁的	不景氣	不平均的	化膿	未被證明為正當的
奶油	毆打	不景氣的	不平坦	反托拉斯	吃驚
巧克力	撞擊	不舒服	不平坦的	反托拉斯的	同性戀者
平反	撞擊聲	不舒服的	不平常	反作用	如死一般
平等	撕破	不舒適	不平常的	幻想	如死一般地
平靜的	撕裂	不舒適的	不平等	引起死亡	如野獸般
母性	撕裂處	不順利	不平等的	引起疼痛	如野獸般的
母親	撕毀	不順利的	不平整	引起緊張	如獸
生日	暴力	不順當	不正	引起緊張的	如獸的
生長	暴力引起	不順當地	不正的	引起嘲笑	尖叫
生動	暴力引起的	不不發達	不正直	引起嘲笑的	尖叫著說
生殖	暴行	不新鮮	不正直的	引起震驚	尖叫聲
白度	暴怒	不新鮮的	不正當	引起震驚的事件	尖銳
目的地	暴虐	不會	不正當的	引誘	尖銳的
示範的	暴虐行為	不會的	不吉利	毛骨悚然	尖聲
立功	暴虐的	內疚	不吉利的	毛骨悚然的	尖聲喊叫
交易	暴動	中止	不在乎	水妖	尖聲發出
交朋友	暴亂	中斷	不在乎的	令人恐懼	作廢
交響樂	暴躁	互撞	不在意	令人恐懼的	作戰
休閒的	暴躁的	介意	不在意的	世界末日	作驚人表演
休戰	衝突	冗長	不合意的	世界的末日	吼叫
光束	衝撞	冗長乏味	不利	令人窒息	吼叫著表達
光澤	論爭	冗長乏味的	不利的	令人窒息的濃煙	岔子
全神貫注	論爭的	冗長的	不受感動	可怕	把..嚇出來
合法化	論戰	冗語	不受感動的	可怕的	把..嚇跑
合唱	誹謗	冗餘	不受歡迎	可怕的人	汽車扣押場
吉祥	誹謗性	內情	不受歡迎的	可怕的事	灼枯
同步	誹謗性的	分心	不服從	可怕的事物	灼痛
同情的	誹謗的	分心的事物	不服從的	可疑	灼痛感
名人	誹謗者	分歧	不知羞恥	可疑分子	灼傷
吐司	誹謗罪	心甘情願	不知羞恥的	可疑的	使驚嚇
多數	罵髒話	支配	不信任	古怪	使疾走
好的	罷工	文盲	不信任的	古怪的	使破裂
如畫	罷市	木棍	不厚道	古怪的人	使骨折
安全的	橫衝	止步	不厚道的	叫化子	使窒息
安寧	橫衝直撞	令人失望	不美	叫吠	使驚嚇
成功	激烈	令人失望的人	不美的	叫喊	使驚慌
成功的	激烈的	令人沮喪	不負責任	叫喊著說	兩難
成立	激烈進行	令人沮喪的	不負責任的	叫喊聲	刺入
成就	激動	令人悲痛	不值得	失控	刺死
成聖	激進分子	令人悲痛的	不值得的	失控地	刺針
收入	錯亂	令人傷心的	不值錢	打入地獄	刺骨
收成	錯亂地做事	去世	不值錢的	打入地獄的	刺探
有利	錯誤	可惜	不值錢的東西	未完成	刺傷
有抱負的	錯誤地	可惜的	不修邊幅	未完成的	受驚
有益的	錯誤地處理	可憐	不真實	未完成體	受害
有節奏的	錯誤的	可憐的	不真實的	未決定	受害的
有義務的	錯覺	可憐的人	不純	未決定的	呼嘯
有遠見的	壓抑	四處覓食	不純的	未見過的	放棄
有趣	壓制	四散	不純潔	未受制止	放棄權利
有趣的	壓制性	外傷	不純潔的	未受制止的	爭吵
有幫助	壓制性的	外傷用	不悅耳	未定	爭吵的原因
羊肉	應斥責	外傷用的	不悅耳的	未定的	爭鬥
肉慾	應斥責的	外傷的	不不能	未知	爭鬥者
自由	應負責的	失去	不能決定	未知的	爭執
自由自在	應該譴責	失去..	不能決定的	未知的東西	直撞
自信的	應該譴責的	失去..的	不能征服	未知數	空襲
自豪	戲弄	失去母獸	不能征服的	未指明	雨打
自豪的	擠出前進	失去母獸的小動物	不能的	未指明的	恍惚
色情	擠向前	失去光澤	不能肯定	未得到	相撞
行家	擠過	失去法律保護	不能信賴	未被	胖的
西班牙獵狗	擠過去	失去知覺	不能信賴的	末日	唐突
伴侶	擠滿	失去知覺的	不高	末日審判	唐突的
伴奏	擦破	失去勇氣	不高興	用矛刺	破壞
伴娘	擦痕	失去能力	不高興的	用尖銳	破壞..的基礎
佔上風	擦痛	失去感覺	不健康	用尖銳的聲音說	破壞性
助產士	擦傷	失去感覺的	不健康的	用沸水燙	破壞性的
吻	擱下	失敗	不莊重	用拳猛擊	破壞的
壯舉	瞪眼	失敗的	不莊重的	用臭氣趕出	破壞活動
壯麗	瞧不起	失敗者	不規則	用帶捆住	秘教的
壯麗的	瞧不起人	失望	不規則的	用欺騙致使	脅迫
妖嬈	瞧不起人的	失明	不規則的事物	用碎紙機撕毀	訓斥
完成		失效	不許	用話刺痛	逆向
完美		失眠	不尋常	用詭計取得	逆向的
完美的		失眠的	不尋常的	用槍射擊	逆行
完美無暇		失常	不愉快	休克	逆著
希望	繃著	失措	不愉快的	交疲	退縮
形影不離	繃著的臉	失策	不愉快的事	交惡運	退避
志向	繃緊	失察	不雅觀	交惡運的	陡然
志願者	繃緊的	失誤	不雅觀的	交媾	陡然下降
快活的	縱容	失調	不誠實	交戰	陡然下降的
快感	縱情	失調的	不誠實的	交戰的	高度興奮
快樂	縱情於	失寵	不道德	交戰國	高速疾駛
快樂的	聲名狼藉	生病	不道德的	交戰國的	高壓
批准	聲名狼藉的	生病的	不實在	休止	高壓政治
抒情的	聲明拒付	生活艱苦	不實在的	兇手	偽君子
投票	聲明放棄	生活艱苦的	不對	危及	偽造
投標	聳人	用盡	不對頭	危地	偽造物
改進	聳人聽聞	用嘶啞	不對頭地	危困	偽造的
求愛	聳人聽聞的	用嘶啞的聲音說	不滿	危急	偽造品
沉浸	聳肩	用濫	不滿足	危急的	偽善
狂言	聳肩表示	用濫的	不滿意	危害	偽善者
狂喜	膽大	用舊	不滿意的	危害物	偽裝
狂歡	膽大妄為	同情	不稱心	危機	啪地一聲放下
良性	膽大妄為的	同情的	不稱心地	危險	啪地落下
足球	膽小	有困難	不端	危險之源	啪的一聲甩
防腐劑	膽小的	有困難的	不精密	危險物	啪嗒
享樂主義	膽小的人	有條件投降	不精密的	危險的	啪嗒一聲關上
使滿意	膽怯	死亡	不精確	危險期	崎嶇
來臨	膽寒	死亡狀態	不說話	同謀	崎嶇不平
具有	膽敢	死的	不說話的	因循	掉下
卓越	謬見	死者	不遜	回絕	掉隊
受戒	謬誤	灰心	不遜的	迴避	掉隊的飛機
和平	謬誤的	灰心的	不履行	地牢	救命
和解	謬論	老年	不潔	地雷	斬首
和諧	壞人	老年的	不潔的	地獄	猛扔
和諧地	壞事	自責	不潔淨	地震	猛吃
和藹的	壞的	含淚	不潔淨的	在..埋地雷	猛地
咕嚕咕嚕	壞的東西或情形	困乏	不熟悉	成為障礙	猛地落下
坦率	譏諷	困局	不熟悉的	成問題	猛地關上
奇妙	嚴酷	困惑	不確	成問題的	猛攻
奇妙地	嚴酷的	困窘	不確定	成廢物	猛拉
奇蹟	嚴酷的考驗	困境	不確定的	成廢物的	猛拋
奉獻	嚴厲	困窮	不確的	成為空	猛砍
幸運的	嚴厲批評	困窮的	不確信	成為空的	猛烈
幸福	嚴厲拒絕	困擾	不確實	成為零	猛烈抨擊
幸福的	嚴厲的	困難	不確實的	有..傾向	猛烈的
忠誠	嚴厲對待	困難的	不調和	有..傾向的	猛烈的力量
性別	嚴懲	坐立不安	不調和的	有目的	猛烈的抨擊
承諾	觸犯	坐臥不安	不適	有危險	猛推
拍	觸怒	夾痛	不適任	有危險的	猛然
招待	警告	完全喪失	不適任的	血腥	猛然一動
昇華	噁心	完全喪失的	不適時	血腥的	猛然地
朋友	噁心的	完全喪失者	不適時的	行刺	猛然地一拉
杯	噘起	侷促	不適當	佈置地雷或水雷	猛奪
欣喜若狂	噘著嘴說	侷促不安	不適當的	判刑	猛撞
欣然	噘嘴	局限	不適應環境	判決	猛衝
欣慰	蹩腳	沈下	不適應環境的	忌諱	猛踢
欣賞	蹩腳的	沈下臉	不整齊	忌諱的	猛擊
治療性的	顯怒容	沈沈	不整齊的	抖顫	猛闖
牧師	一肚子氣	沈沈不樂	不親切	扼死	猖獗
玩具娃娃	一肚子壞水	沈沈不樂的	不親切的	扼制	猖獗的
花束	一氣	沈沒	不懂事	扼殺	球觸網重發
花園	一氣之下	沈重	不懂事的	投入深淵	眼花
長子	下手	沈重地走	不檢	投降	眼花的
阿門	下半身思考	沈重的	不講道理	投彈	眼花繚亂
阿羅哈	下地獄	沈重的步伐	不講道理的	投彈於	眼花繚亂的
附魔	下毒	沈重的責任	不賺錢	沒有自信的	窒息
青年	下毒手	沈重的腳步聲	不賺錢的	沒有防備	窒息而死
俏皮	下流	沈重緩慢	不禮貌	沒有防備的	窒息狀態
保佑	下賤	沈重緩慢地走	不謹慎	沒有經驗	窒息的
保真度	乞求	沈迷	不謹慎的	沒有經驗的	窒息噎
保證	乞討	沈寂	不斷嘮叨	沒有觀察到	處..以罰金
信心	乞憐	沈寂的	不斷騷擾	沒有觀察到的	處刑
信仰	口吃	沈悶	不識	沒到	處於不利
冠軍	口臭	沈悶的	不識字	沒受	處於不利地位
咧嘴笑	口齒不清	沈溺	不識字的	沒受教育	處於支配地位
品嚐	人身攻擊	沒收	不贊同	沒受教育的	處置
孩子	一張臭臉	沒收物	不贊成	沒注意到	被打碎
幽思	大吵大鬧	沒有	不關	沒規矩	被抑制
幽默	大發雷霆	沒有目標	不關心	沒規矩的	被抑制狀態
急速	大罵	沒有目標的	不關心的	沒覺察到	被刺痛
恢復性	大鬧	沒有考慮	不關緊要之事	沒覺察到的	被俘
恰逢其時	大噪	沒有考慮的	不願意	災害	被俘的
按摩	不屑	沒有自信	不願意的	災禍	被浮渣覆蓋
星星	不屑於	良心不安	不顧	災難	被迷住
春季	不滿	辛酸	不顧一切	見鬼	被迷住的
洗禮	不歡而散	迂迴	不顧一切地	邪神	被勒死
活	互吵	迂迴的	不顧後果	使一蹶不振	被控
活力	仇恨	迂迴說法	不顧後果的	使人痛苦	被控犯罪
活潑	仇視	迂迴	不聽話	使人痛苦的	被控犯罪的人
活潑的	少惹	迂迴的	不聽話的	使人厭惡	被擦模糊
活躍	少惹我	事故	不體面	使人厭惡的	通告廢除
珍惜	少煩	依賴	不體面的	使人厭煩	通牒
祈禱	少煩我	依賴他人者	中傷	使人厭煩的	通敵
紀念	水火不容	依賴的	中傷性	使下垂	連累
美化	火大	使..失去法律保護	中傷性的	使大傷元氣	逐出
美學	火冒三丈	使一團糟	中傷者	使心智衰弱	逐出教會
美麗	火爆	使人不高興	分割	使心慌	逐漸消耗
美麗的	他奶奶的	使人不愉快	分裂	使失敗	陷入僵局
耐寒	他馬的	使人不愉快的	分裂的	使失望	陷住
苗圃	他媽的	使人生氣	分開	使失常	陷於困境
英勇	出氣	使人產生不愉快	分隔	使失敗	發動
英雄	出爾反爾	使人產生不愉快的感覺	分離	使失事	發動突然襲擊
英雄主義	去去去	使不正常	分離的	使失明	裂口
英鎊	去死	使不合格	反動主義	使休克	裂痕
訂婚的	去死吧	使不安	反動主義的	使有危險	裂開
重量	去死啦	使不足	反動主義者	使困窘	裂開的
重新點燃	去你	使不知所措	反動的	使侷促不安	裂隙
音樂	去你的	使不高興	反動派	使局限於狹小空間	裂縫
食物	去你媽	使不舒服	反常	使受危困	著火
香脂	去你媽的	使不適	反常的	使受到傷害	進攻
倡導	斥責	使不關心	反常現象	使受毒氣影響	進退兩難
值得注意的	斥罵	使失去勇氣	反覆	使受電擊	亂砍
值得稱道	打罵	使失去能力	反覆告訴	使受嚴重損傷	亂結
剛毅	甩了	使失去感覺	反覆無常	使昏亂	亂想
唄	甩不甩	使失調	反感	使氾濫	亂語
唧唧喳喳	甩不掉	使失寵	反話	使倒塌	亂撕
娛樂	甩得	使成孤兒	反對	使恐怖	嫉妒
娛樂的	甩得一乾二淨	使成殘廢	反對改革	使恐慌	驚嚇
孫子	甩掉	使成廢墟	反對改革的	使恐懼	搖晃
宴會	甩都不甩	使灰心	反對的	使發燒	搖晃著行駛
宴請	甩都甩不掉	使困惑	反對者	使短路	搖動
容光煥發	由不得	使受人輕視	反駁	使跛	搖搖
射精	由他去	使受傷	反駁的	使跛行	搖搖欲墜
旅行	由愛生恨	使委屈	反諷	使黑暗	搖擺
桂冠	吐一口痰	使孤立	反覆	使傾側	搗蛋
浪漫	吐痰	使孤寂	反覆無常	使傾覆	搗蛋鬼
浪漫主義	吃不下	使沮喪	反覆無常的	使毀滅	搗碎
浪漫的	吃飽太閒	使苦惱	反壟斷	使落入圈套	激起恐懼
海拔	吃飽閒閒	使挫折	反壟斷的	使驚嚇	看不慣
海豚	吃飽撐著	使消沈	反證	使驚恐	睜大
海灘	在那邊混	使狼狽	太過	使驚訝	違反
烏托邦	奸男女	使茫然	太過自信	使驚惶失措	違反行為
特別的	奸偽	使挨餓	太過自信的	受抑止	違反教規
特權	姦情	使消散	太遲	受到阻滯	違犯
真正的	好不	使破產	太遲的	受阻	違抗
真實性	好不應該	使破爛	少給	受阻止	違抗命令
祖先	好死不死	使紊亂	巴掌	命令	違命
祝賀	好自為之	使純	巴結	奉承	違法
祝福	好恨	使衰竭	心地不好	放低	違法的
神奇	好假	使起皺紋	心地不好的	放射	違背
笑	好嘔	使迷惑	心神不安	易爆發	違背習俗
笑話	好屌	使退卻	心神不安的	易爆發的	瞎的
笑聲	存心	使產生紋裂	心神不定	武力	衝口
虔誠的	尖叫	使疏遠	心情不穩	歧途	衝口說出
衷心	尖酸	使羞愧	心情不穩的	疝氣	衝出
衷心地	有口無心	使乾枯	心情浮動	疙瘩	震驚
討人喜歡	有什麼了不起	使貧困	心情浮動的	侵入	驚嚇
財富	有仇	使貧窮	心眼壞	侵入者	遭遇
迷人的	有屁用	使透不過氣來	心眼壞的	侵犯	驚擾
迷住了	有個屁用	使陷危	心智衰弱	侵犯人身	嚇人
退休	有氣	使陷危地	心虛	侵犯的	嚇人的
配件	有問題	使陷入困境	心虛的	侵佔	嚇出
酒	有夠	使喪失	心慌	侵吞	嚇呆
閃光	有夠累	使惡化	支吾	侵害	嚇呆的
閃亮的	有夠蠢	使悲痛	毛病	侵略	嚇跑
閃爍	有得瞧	使悲傷	歹徒	侵略的	壓壞
骨髓	有意	使麻木	犬儒	侵略者	擊中
高潮	有愧	使散落	犬儒主義	侵略國	擊成
高興	有資格	使減少	世仇	侵奪	擊退
高興地	有種	使無法動棋子	世代結仇	侵蝕	擊退的
高興的	有點火	使無效	世俗	侵擾	擊敗
高興極了	有礙	使無能為力	世俗的	侵襲	擊潰
高舉	有礙觀瞻	使無資格	令人討厭	俘虜	爆炸
乾淨的	有啥	使痛苦	令人討厭的	前後矛盾	爆炸物
假期	有啥了不起	使痙攣	令人討厭的人	前後顛倒	爆炸的
偉大	死愛	使發出撞擊聲	令人討厭的事物	前後顛倒的	爆破
偎	死愛面子	使發愁	令人厭惡	剋星	爆發
做愛	你以為自己	使暈眩	令人厭惡的	勉強	爆震
健全性	你以為你是誰	使稀薄	令退役	勉強的	驚呆
健康的	你就完了	使窘迫不安	充公	冒..的危險	驚呆的
動畫	你媽	使極	充血	叛國	驚恐
唱詩班	你媽的	使極度痛苦	充滿危險	叛國者	驚訝
唱歌	你管我	使極度激動	充滿危險的	叛亂	驚愕
啟示	你去死	使極苦悶	凹下	威脅	驚惶
啟發	你完了	使極痛苦	凹痕	威嚇	驚惶失措
啤酒	你是怎樣	使憂傷	凹陷	威壓	驚惶奔跑
培育	你是怎樣啊	使落空	功利	威懾	驚駭
奢華	冷冰冰	使憂傷	功利主義	威懾力量	驚慌
婚姻	冷笑	使朦朧	功利主義的	威懾的	驚跳
崇拜	冷淡	使難辦	功利主義者	很深的裂縫	驚險
崇高的	冷眼	使驚愕	功利的	宣判	驚險動作
常綠	冷眼旁觀	受難	功利論者	宣告有罪	驚駭的
康復	冷然	受難者	包圍	宣告放棄	驚嚇
強大的	冷戰	受害者	去除	宣告非法	驚懼
強化	冷靜	受挫	可作兩種解釋	宣告無效	一槍斃了你
情人	冷靜下來	受挫折	可恥的	封鎖	一箭之仇
授予	別來惹我	受挫折的	可恥的人	幽暗	人心惶惶
接收	別來煩我	受悶	可笑	後座力	人生不就是如此
救恩	別離	受痛苦	可笑的	急切	又氣
救援	吹牛	受傷	可厭惡的	急切地要求得到	三八
教	吵人	受傷的	可鄙	急切的	大吃一驚
教會	吵死	受腐蝕	可鄙的	急忙	大驚失色
淨化	吵別人	受騙	囚犯	急忙地講	中邪
現金	吵吵鬧鬧	受騙者	外行	急扯	心生畏懼
甜的	吵到	呵欠	外行的	急走	心如刀割
甜美	吵的像什麼鬼一樣	咕噥	外來	急拉	心有餘悸
畢業	吵架	咕噥著說	外來的	急促	心死
異想天開	吵起來	呻吟	失業	急促地說	心灰意冷
盛開	吵嘴	委屈	失業人數	急急忙忙	心急如焚
組織	吵鬧	孤立	失業的	急流	心胸狹窄
統一	吵翻天	孤立的	失業者	急煞車聲	心胸狹隘
赦免	吼叫	孤兒	失業者的	恫嚇	心驚肉跳
逗樂	吼道	孤寂	失檢	毒蛇	心驚膽戰
逗樂了	困死	孤寂的	失禮	毒蛇一樣	攻擊
部	困惑	孤單	失禮的	毒蛇一樣的傢伙	哇咧
野餐	困頓	孤單的	奴役	洪水	哇哩
陶醉	困擾	孤獨	巨物	洪流	哇哩咧
傑出的	困難	孤獨的	巨瀾	畏怯	哇勒塞你娘
傑作	困難重重	孤獨的人	巧取	畏縮	哇靠
凱	妒忌	定罪	幼稚	畏縮的	怎麼這樣
創造	妒恨	尚未	幼稚的	畏懼	逃不過
勝利	妓女	尚未準備好	斥責	突如其來	逃之夭夭
勝利的	完了	尚未準備好的	打著哈欠說	突如其來的	逃生
勝利者	完蛋	尚武	打亂	突然	逃避
勞動	快滾	尚武的	打碎	突然不見	逃避責任
善良	抄你爸	屈服	打滾	突然止步不前	追殺
喘息	找麻煩	屈辱	打賭	突然地	殺千刀
喜	找誰幹啊	屈從	打擊	突然的	殺死
喜出望外	找碴	延期	打鼾	突發	提心吊膽
喜悅	批臭	延誤	打擾	突襲	經不起
喜氣洋洋	批鬥	延緩	打斷	看不見	經受不起
喜愛	批發	延遲	打顫	看不見的	遏止
喜慶	批評	承受	打攪	致死	嚇一跳
喜慶的	批評別人	拒付	未下定義	致死的	嚇了一跳
喜歡	批評為	拒受	未下定義的	致命	嚇到
喧鬧的	批駁	拒絕	未上班者	致命之物	嚇壞
報酬	扯懶蛋	拒絕..	未中	致命的	驚叫
富裕	投敵	拒絕給予	未加	迫害	驚呼
富礦	投機	拒給	未加抑制	風暴	驚覺
尊重	抓來	招供	未加抑制的	害怕	驚異
尊敬	抓來打一打	招致	未必	害怕的	驚訝
就職典禮	私心	招致毀滅	未必的	容易受驚	驚愕
復興	走開	招致毀滅的	未成熟	容易受驚的	驚歎
愉快	走開啦	拋棄	未成熟的	恐怖	驚醒
愉快的	狂怒	抨擊	未完全發展	恐怖手段	驚險
掌握	怒火	抽打	未完全發展的	恐怖主義	驚人
掌聲	怒氣	抽筋	犯了罪	恐怖行動	驚呼出來
提升	毒手	抽噎	犯了罪的	恐怖時期	
提供	毒打	抽噎地哭	犯人	恐怖病	
提亮	毒打一頓	抱歉	犯殺人罪	恐怖症	
提高	怒火	抱歉的	犯規	恐怖統治	
晴天	怒髮衝冠	易被瞞	犯罪	恐怕	
智力	很氣	易被瞞的	犯罪的	恐慌	
最後	很爛	易損壞	犯罪者	恐嚇	
最高	很蠢	易損壞的	犯過失	恐懼	
最喜歡的	很屌	易煩惱	犯過錯	浸水而沈沒	
欽佩	狠打	易煩惱的	瓜分	浸沒	
渴望	狠命	服喪	瓦解	海難	
渴望的	狠很	沮喪	申斥	疹子	
游泳	狠毒	沮喪的	白日夢	眩目	
無盡的	狠罵	空虛	白吃	眩目地照射	
無與倫比	倒底要怎樣	空虛的	白費	真假可疑	
無窮	哼！	長期不和	白費的	真假可疑的	
發誓	氣死	長期折磨	白癡	病根	
童年	氣死ㄌ	長期爭鬥	白癡的	病菌	
結婚	氣死了	阻止	白癡般	砰擊	
絲帶	氣死人	阻塞	白癡般的	砰擊聲	
舒緩的	氣死我了	阻隔	目中無人	砰聲	
舒適	氣沖沖	阻滯	目中無人的	破壞名譽	
華麗的	氣呼呼	阻礙	目光短淺	脅迫	
著名	氣昏	阻礙..的發育	目光短淺的	起風暴	
著迷	氣的半死	阻礙物	矛盾	送葬	
著迷的	氣咻咻	阻攔	矛盾的	送葬者	
超人	氣急敗壞	非婚生子	丟失	逆境	
超出	氣哼哼	非婚生子女	丟掉	迷住	
超級明星	氣得	非常飢餓	丟棄	迷信	
超越	氣惱	非常飢餓的	丟臉	迷信引起	
跑車	氣絕身亡	非難	丟臉的	迷信引起的	
進步	氣瘋	俗麗	丟臉的人	迷信的	
進展	氣憤填膺	俗麗的	丟臉的事	迷途	
開花	氣餒	侮辱	丟醜	迷途地	
開導	氣壞	侮辱的	丟醜的人	迷惑	
閒暇	真他x的雖	侮慢	仿造	迷惑的	
陽光	真他ㄇㄉ	侮慢的	仿造品	迷亂	
隆起	真他ㄉ濫	哀惜	仿製	迷路	
雄偉	真他媽	哀悼	仿製品	迷路的	
傻笑	真他媽的	哀悼者	伏兵	迷路者	
微光	真他媽賤	哀痛	伏擊	迷戀	
微笑	真是夠了	哀訴	全無	迷戀者	
想要	真氣	哀傷	全無的	逃避	
意外	真干	哀傷的	共犯	逃避義務	
愚蠢的	鬥不過	哀號	共謀	逃避職責	
愛	鬥爭	哀歎	刑事	骨折	
愛好	破口	哎呀	刑事被告	健忘	
愛好者	破口大罵	咯咯	劣馬	偷運	
愛的	破麻	咯咯聲	劣等	勒死	
感性的	破銅爛鐵	垂下	劣等的	動武	
感恩	破機八	垂涎	劣勢	啞的	
感恩的	破壞	垂頭	劣質	密謀	
感情	破壞心情	垂頭喪氣	劣質的	密藏	
感激	破壞我的心情	垂頭喪氣的	劣學生	密藏的金錢	
感覺	臭老師	後悔	吊兒郎當	專制	
慈善	臭老猴	枯萎	吊兒郎當的人	專制的	
慈善機構	臭老頭	枯槁	向..挑戰	專橫	
搖籃	臭你老師咧	枯竭	向..開槍	專橫的	
搞笑	草菅	流逝	名聲臭	崩潰	
敬虔的	草菅人命	流亡	吃同類	帶來痛苦	
新郎	馬的	流亡者	吃同類的動物	強迫	
新娘	馬的咧	流出	吃得過飽	強迫..入伍	
準備就緒	馬的逼	流血	在..下挖掘	強迫..服務	
溫泉	動干戈	流行病	在..上蔓生	強迫的	
滑行	動不動	流言	在..中加入脂肪	強迫徵兵	
照明	動不動就發脾氣	流言蜚語	在..留下疤痕	徘徊	
照亮	動手	流放	在..搜尋	情急	
當下	動怒	流氓	多刺	情急拚命	
節日	動粗	流空	多刺的	情急拚命的	
節省	夠了	流浪	奸詐	敏感	
經典	夠了沒	流浪人	奸詐的	敏感的	
聖	夠不爽	流浪乞丐	多風暴	毫無辦法	
聖歌	猖狂	流浪的	多風暴的	毫無辦法的	
聖潔	猖獗	流浪者	多陰雨	深淵	
聖潔的	猙獰	流浪漢	多陰雨的	被逐出	
聖餐	理不直不壯	流淚	多疑	被逐出的	
聖職	現世報	流離	多疑的	被絞死	
聘請	處罰	為..哀痛	多餘	被詛咒	
補充	被打	為..鬥爭	多餘物	被詛咒的	
補救	被利用	為..報復	多餘的	被撕破	
補償	被狗吃	為..感到遺憾	妄求	被撕裂	
裝修	被干走	約束	妄為	被碾碎	
解放	被當	相差的	妄動	被驅逐	
解開	被雷打死	相異	妄動的	被驅逐的人	
誠實的	被騙	相異的	好色	通告廢除	
資源	竟然一直給我	背井	好事	通牒	
跳	單挑	背信	好事的人	通敵	
遊行	惡臉相向	背信棄義	存心	連累	
遊客	揍一頓	背信棄義的	存心的	逐出	
運氣	提心吊膽	背信棄義的人	存有偏見	逐出教會	
遐想	無聊死了	背叛	存有偏見的	逐漸消耗	
達到	發脾氣	背叛的	存偏見	陰險的	
電的	等著看	背叛者	尖刻	陰鬱	
頌歌	等著瞧	背離	尖刻的	陰鬱的	
鼎盛時期	絕不	約束物	守財奴	陷危	
鼓勵	絕不原諒你	苦悶	尖著	陷落	
嘉年華	絕望	苦惱	尖著聲音講	惡性腫瘤	
